Ability, Able, inability, undefined
,Compassion, Compassionate, indifference, indifferent
,Completion, Complete, undefined, undefined
,Confidence, Confident, distrust, undefined
,Connection, Connected, undefined, undefined
,Contentment, Content, undefined, discontented
,Control, Controlled, undefined, undefined
,Coolness, Cool, undefined, warm
,Cordiality, Cordial, undefined, unfriendly
,Courtesy, courteous, discourtesy, discourteous
,Credibility, Credible, undefined, untrustworthy
,Daring, Daring, cowardly, cowardly
,Deepness, Deep, undefined, shallow
,Delight, Delightful, dismay, unpleasant
,Desire, desirable, undefined, disadvantageous
,Devoutness, Devout, undefined, insincere
,Diligence, Dilligent, laziness, undefined
,Directness, Direct, undefined, indirect
,Discipline, disciplined, undefined, undefined
,Diversity, Diverse, undefined, similar
,Duty, dutiful, undefined, remiss
,Effectiveness, effective, ineffectiveness, ineffective
,Elegance, Elegant, inelegance, inelegant
,Endurance, Enduring, undefined, undefined
,Enlightenment, Enlightened, ignorance, ignorant
,Exactness, Exacting, inaccuracy, easy
,Exhilaration, exhilarating, dejection, undefined
,Experience, Experienced, undefined, inexperienced
,Expressiveness, Expressive, undefined, expressionless
,Exuberance, Exuberant, gloom, gloomy
,Fairness, Fair, undefined, unfair
,Fascination, Fascinating, boredom, boring
,Firmness, Firm, undefined, soft
,Flow, Flowing, undefined, stiff
,Focus, Focused, undefined, distracted
,Freedom, Free, undefined, undefined
,Fun, Fun, boredom, boredom
,Gentility, Gentle, vulgarity, unkind
,Grace, Graceful, stiffness, inelegant
,Gregariousness, gregarious, undefined, unsociable
,Happiness, Happy, unhappiness, sad
,Heart, Heartful, undefined, undefined
,Holiness, Holy, wickedness, unsanctified
,Hopefulness, Hopeful, undefined, pessimistic
,Humor, Humorous, seriousness, serious
,Impact, Impactful, undefined, undefined
,Independence, Independent, dependence, constrained
,Inquisitiveness, Inquisitive, undefined, undefined
,Instinctiveness, Instinctive, undefined, undefined
,Intensity, Intense, apathy, mild
,Introversion, Introverted, undefined, extroverted
,Inventiveness, inventive, unimaginativeness, undefined
,Justice, Just, injustice, unjust
,Knowledgeableness, knowledgeable, undefined, ignorant
,Learning, Learned, undefined, undefined
,Liveliness, Lively, undefined, listless
,Love, Loving, hatred, cold
,Mastery, Masterful, undefined, weak
,Mellowness, Mellow, undefined, harsh
,Moderation, Moderate, extremism, great
,Mysteriousness, Mysterious, undefined, straightforward
,Obedience, Obedient, disobedience, disobedient
,Optimism, Optimistic, pessimism, pessimistic
,Organization, Organized, undefined, undefined
,Outrageousness, Outragous, undefined, undefined
,Perceptiveness, Perceptive, undefined, obtuse
,Persistence, Persistent, undefined, irresolute
,Piety, Pious, undefined, impious
,Pleasure, Pleasant, undefined, undefined
,Polish, polished, undefined, dull
,Practicality, Practical, undefined, theoretical
,Preeminence, Preeminent, undefined, unknown
,Privacy, Private, undefined, public
,Professionalism, Professional, undefined, manual
,Punctuality, Punctual, undefined, undefined
,Quietness, Quiet, undefined, loud
,Readiness, Ready, undefined, unprepared
,Recreation, Recreational, work, undefined
,Relaxation, Relaxing, anxiety, undefined
,Resolution, Resolute, undefined, irresolute
,Respect, Respectful, contempt, disrespectful
,Reverence, Reverent, scorn, irreverent
,Sacredness, Sacred, undefined, unconsecrated
,Saintliness, Saintly, ungodliness, unholy
,Security, Secure, undefined, loose
,Self-realization, self-actualized, undefined, undefined
,Sensuality, Sensual, asceticism, spiritual
,Sexuality, Sexual, undefined, undefined
,Significance, Significant, insignificance, insignificant
,Simplicity, Simple, complexity, difficult
,Smartness, Smart, undefined, scruffy
,Solidity, Solid, undefined, liquid
,Speed, Speedy, undefined, slow
,Spontaneity, Spontaneous, undefined, planned
,Strength, Strong, weakness, weak
,Success, Successful, failure, unsuccessful
,Supremacy, Supreme, undefined, subordinate
,Tactfulness, Tactful, undefined, tactless
,Thankfulness, Thankful, undefined, disappointed
,Thrift, Thrifty, profligacy, profligate
,Tranquility, Tranquil, commotion, disturbed
,Trustworthiness, Trustworthy, undefined, untrustworthy
,Uniqueness, Unique, undefined, common
,Utility, Utilitarian, undefined, decorative
,Victory, Victorious, defeat, unsuccessful
,Vision, Visionary, undefined, undefined
,Warmth, Warm, cool, cold
,Wholesomeness, Wholesome, undefined, undefined
,Wisdom, Wise, stupidity, stupid
,Worthiness, Worthy, undefined, undefined
